Keyword Phrase,"Category (R for relevant, D for design specific, I for irrelevant and B for branded, S for Spanish, O for Outlier)",ABA Total Click Share,ABA Total Conv. Share,Keyword Sales,Cerebro IQ Score,Relevancy,Search Volume,Search Volume Trend,H10 PPC Sugg. Bid,H10 PPC Sugg. Min Bid,H10 PPC Sugg. Max Bid,Sponsored ASINs,Competing Products,CPR,Title Density,Organic,Sponsored Product,Amazon Recommended,Amazon Choice,Highly Rated,Sponsored Brand Header,Sponsored Brand Video,Top Rated From Our Brand,Trending Now,Sponsored Rank (avg),Sponsored Rank (count),Amazon Recommended Rank (avg),Amazon Recommended Rank (count),B00O64QJOC,B08PH9Y6QS,B08KHD615K,B0D4LG7CRK,B0CSXXWMBC,B0C88J6M4X,B08543W8SH,B0DF1W28C5,B0F5PLRJ3Q,B0FC21BN9V
wipeable baby changing pad,,33.3,16.7,1,612,4,455,-8,0.7,0.52,0.9,191,744,8,3,1,1,0,0,0,0,1,0,0,13,2,0,0,1,39,30,53,53,15,25,2,6,7
changing table pad for dresser,,31.6,25,10,454,9,454,-6,0.83,0.61,0.89,126,1000,8,0,1,1,0,0,0,1,1,0,0,25,6,0,0,5,4,3,6,6,2,1,9,11,8
baby changing pad covers,,29.2,,7,227,0,454,3,0.54,0.45,0.67,131,2000,8,4,1,0,0,0,0,1,1,0,0,0,0,0,0,34,161,12,115,115,22,24,108,241,275
leander matty changing pad,,84.4,,1,1693,2,452,-7,0.67,0.55,0.88,193,267,8,0,1,1,1,0,0,0,1,0,0,10,7,328,1,24,55,25,18,18,22,41,11,7,4
hatch scale changing pad,,94.4,100,3,2392,0,452,-16,0.65,0.59,0.71,84,189,8,0,1,1,0,0,0,1,1,0,0,13,4,0,0,18,29,32,113,113,28,27,16,20,12
pink changing pad,,36.9,40,1,448,2,448,-8,,,,115,1000,8,1,1,1,1,0,0,0,1,0,0,9,4,198,1,103,117,68,46,46,2,64,20,3,27
large changing pad,,37.5,16.7,6,11,3,447,-2,0.91,0.63,1.23,139,40000,8,0,1,1,1,0,0,1,1,0,0,9,6,140,7,8,12,20,7,7,19,22,34,10,36
waterproof diaper changing pad,,25.4,8.3,10,224,2,447,-10,0.9,0.62,1.1,175,2000,8,1,1,1,1,0,0,0,1,0,0,19,4,113,6,1,83,59,20,20,28,5,13,16,18
changing table top,,38.8,,-,883,5,447,-11,0.77,0.55,1.07,193,506,8,3,1,1,1,0,0,0,1,0,0,8,1,291,2,17,5,1,12,12,3,25,7,11,8
skip hop baby changing pad,,88.1,44.4,3,943,3,445,-13,0.53,0.48,0.71,109,472,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,21,95,22,17,17,24,85,4,6,3
changing pad keekaroo,,78.6,100,1,1271,1,445,-9,0.52,0.42,0.77,143,350,8,0,1,1,0,0,0,1,1,0,0,17,5,0,0,23,45,19,38,38,27,31,13,21,6
infant changing table,,36.6,50,3,111,1,445,-1,1.14,0.56,1.55,123,4000,8,1,1,0,1,0,0,0,0,0,0,0,0,178,1,128,41,7,119,119,19,85,159,66,113
munchkin diaper changing pad,,88.2,87.5,10,907,2,441,-21,0.88,0.64,1.09,128,486,8,0,1,0,1,0,0,0,1,0,0,0,0,328,1,1,23,20,33,33,27,7,10,70,38
organic changing pad,,60.4,,4,775,3,441,-9,0.98,0.7,1.09,199,569,8,2,1,1,1,0,0,0,1,0,0,28,6,197,3,52,13,6,24,24,1,58,9,23,83
changing pad with cover,,32.7,,5,44,8,440,-13,0.68,0.51,0.97,190,10000,8,1,1,1,1,0,0,1,1,0,0,12,7,66,8,9,7,2,4,4,5,1,10,6,64
changing,,37.2,,1,44,4,438,-13,0.67,0.48,0.82,239,10000,8,47,1,1,1,0,0,1,1,0,0,24,4,135,3,19,8,3,12,12,5,1,17,62,27
keababies changing pad,,84.6,25,2,1136,2,433,-8,0.52,0.48,0.75,104,381,8,0,1,1,0,0,0,1,0,0,0,14,6,0,0,31,98,41,6,6,49,54,74,35,56
kids foam mat,,25.9,16.7,1,87,1,433,-11,0.83,0.55,0.97,204,5000,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,15,-,-,-
changing pad with scale,,55.1,25,-,1598,0,433,-10,1.04,0.85,1.23,188,271,8,0,1,1,0,0,0,1,0,0,0,21,4,0,0,12,32,10,76,76,21,70,27,42,24
dresser changing pad,,32.3,50,-,431,7,431,-7,0.62,0.52,0.87,111,1000,8,0,1,1,1,0,0,1,1,0,0,10,7,246,6,2,3,8,17,17,4,10,9,6,1
changing topper,,45.7,,1,703,4,431,-15,0.6,0.48,0.85,164,613,8,6,1,1,1,0,0,1,0,0,0,5,1,121,3,5,12,8,17,17,3,10,9,-,26
avocado changing pad cover,,50,,1,1907,2,429,-23,,,,72,225,8,0,1,1,1,0,0,0,0,0,0,12,2,239,2,72,-,31,5,5,-,-,48,-,-
